Car Name,Link,Year,KMage
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103433297-e65903c0/,2012,123000
Opel Astra H Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1102600657-1d5cc738/,2008,175000
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103301074-964db385/,2011,198000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1102949298-0d21e2f2/,2021,0
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1102024138-c2ed3971/,2012,125000
Opel Zafira C,https://auto.ru/cars/used/sale/opel/zafira/1102367281-ac7733b2/,2012,164626
Opel Astra G,https://auto.ru/cars/used/sale/opel/astra/1102458149-2e361cd9/,1999,170000
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1102552160-8aa98a38/,2013,121870
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1102837804-59bf9fb4/,2008,171478
Opel Antara I Рестайлинг,https://auto.ru/cars/used/sale/opel/antara/1101073011-69869ceb/,2012,108000
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1102784374-5e9c2278/,2011,106000
Opel Zafira Life I,https://auto.ru/cars/new/group/opel/zafira_life/21743449/21743614/1102607031-0572b4ff/,2021,0
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103291157-bfca8aa5/,2012,240174
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103279625-d2c2165c/,2014,89148
Opel Astra H GTC,https://auto.ru/cars/used/sale/opel/astra/1103366187-1dcb02ea/,2006,177000
Opel Meriva A,https://auto.ru/cars/used/sale/opel/meriva/1103442661-8502fc36/,2005,188357
Opel Vectra C,https://auto.ru/cars/used/sale/opel/vectra/1102848814-3183e411/,2004,230361
Opel Zafira Life I,https://auto.ru/cars/new/group/opel/zafira_life/21743449/21743614/1102859165-60c0ce52/,2021,0
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1102598622-a9889a23/,2012,116000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1102459671-681c6c24/,2021,0
Opel Antara I,https://auto.ru/cars/used/sale/opel/antara/1102872203-60c83206/,2011,260000
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1102814109-cdef1167/,2011,111000
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103442159-bd451b9f/,2013,97663
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103365922-27d10fc7/,2011,168000
Opel Antara I Рестайлинг,https://auto.ru/cars/used/sale/opel/antara/1103412997-b50a73f2/,2015,39500
Opel Combo PCMA,https://auto.ru/cars/new/group/opel/combo/22826605/22827069/1103357125-82c75e27/,2021,0
Opel Zafira A,https://auto.ru/cars/used/sale/opel/zafira/1103442158-26d81290/,2002,327245
Opel Antara I Рестайлинг,https://auto.ru/cars/used/sale/opel/antara/1103417697-66f05ced/,2013,92500
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1102697632-07307e03/,2012,121078
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1102714577-527cdc6e/,2012,99000
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1102756270-65dcbb45/,2012,85708
Opel Combo PCMA,https://auto.ru/cars/new/group/opel/combo/22826605/22827069/1103357124-32406628/,2021,0
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1102850469-52afa81f/,2007,211463
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1102755675-fd268690/,2013,209930
Opel Astra G,https://auto.ru/cars/used/sale/opel/astra/1099359250-c67a8fec/,2004,285000
Opel Zafira Life I,https://auto.ru/cars/new/group/opel/zafira_life/21743449/21743614/1102349412-9485012c/,2021,0
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1102755178-87104d7a/,2010,151084
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1102682107-b9c96ce4/,2014,78000
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103020985-e877b8df/,2010,197820
Opel Antara I Рестайлинг,https://auto.ru/cars/used/sale/opel/antara/1103262397-814823bd/,2014,100166
Opel Insignia I,https://auto.ru/cars/used/sale/opel/insignia/1103414297-fa6c60d1/,2012,46384
Opel Astra H,https://auto.ru/cars/used/sale/opel/astra/1103002802-1a1d4fec/,2005,210000
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103441356-aa0139df/,2014,69509
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1103072388-42b3e32e/,2021,0
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103357127-ff61b715/,2021,0
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103440392-b1b248b6/,2014,123200
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103439599-ca1ec2ee/,2012,169255
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103439267-d7ea4cd9/,2014,56110
